handle,Is Sybil? (T or F),"Confidence (low, so-so, high)",Notes,gitcoin_url,github_url,prediction_score,prediction_confidence,quant_1,quant_2,quant_3,quant_4,quant_5,quant_6,quant_7,Human_preds
fsdasd34,T,high,Pattern of joining Github in Sep 2021 and doing nothing. All contributions same amount,https://gitcoin.co/fsdasd34,https://github.com/fsdasd34,0.0,0.5581004996823667,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6088254460777954,-0.3931110132795271,1
quinndupont,F,high,Has a public website,https://gitcoin.co/quinndupont,https://github.com/quinndupont,0.0,0.5980661713617106,-0.2691041567614963,0.0513890884265141,-0.1152452724593598,-0.0615406514052648,0.6313340806754419,2.0735353001180887,-0.3698938943545028,0
qianggefcnb,F,high,Active Github. Has non-sybil followers,https://gitcoin.co/qianggefcnb,https://github.com/qianggefcnb,0.0,0.5837980066672206,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0615406514052648,-0.0034808219472112,-0.6078479093627095,-0.0100285510166271,0
nisaetca,T,so-so,Inactive Github. Lots of $1 donations,https://gitcoin.co/nisaetca,https://github.com/nisaetca,0.0,0.5060334015638506,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6850733098545007,-0.3815024538170149,1
polarpunklabs,F,high,Active Github. Different contribution amounts,https://gitcoin.co/polarpunklabs,https://github.com/polarpunklabs,0.0,0.6166037909683425,-0.2691041567614963,-0.1700994446701334,-0.084359278063712,-0.0555640303729612,-0.0034808219472112,-0.487610893407136,-0.4395452511295755,0
acolytec3,F,high,Very active Github. Good ratings on Gitcoin,https://gitcoin.co/acolytec3,https://github.com/acolytec3,0.0,0.6534735855580609,3.5090116282662445,0.9373432208131044,0.2245006658927653,-0.0675172724375685,-0.6382957245698645,1.3794842324070544,-0.3002425375794301,0
y1060165121,T,low,"Had Github account since 2018, lots of donations of same amount, but has two repos",https://gitcoin.co/y1060165121,https://github.com/y1060165121,0.0,0.5681977105941407,-0.1984851701254638,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,0.6697925772546449,0.5703994221089788,1
oilime,F,low,"Active Github, although many donations of same amount",https://gitcoin.co/oilime,https://github.com/oilime,0.0,0.6602266552183633,-0.1278661834894312,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,1.9009638859207485,1.3491805942393895,-0.4395452511295755,0
cfrazumadh,T,high,Inactive Github. All donations of same amount.,https://gitcoin.co/cfrazumadh,https://github.com/cfrazumadh,0.0,0.525419034835971,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6273986436644288,-0.3582853348919907,1
umerfarooqjamsa,T,high,Twitter is sus. Lots of donations same amount.,https://gitcoin.co/umerfarooqjamsa,https://github.com/umerfarooqjamsa,0.0,0.6425353127399643,0.2252287496907314,-0.1700994446701334,-0.1306882696571836,-0.0256809252114429,1.2661489832980952,0.5104540926956328,-0.288633978116918,1
heavenbill,T,so-so,Gitcoin account deleted. Github dormant,https://gitcoin.co/heavenbill,https://github.com/heavenbill,0.0,0.5227527342244269,-0.1278661834894312,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.675297942703641,-0.2654168591918937,1
atelooo,F,so-so,"Github dormant, but using Gitcoin profile pic. Donation amounts vary.",https://gitcoin.co/atelooo,https://github.com/atelooo,0.0,0.5679414566822127,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6019826890721938,1.742863927822703,0
